id,video_id,timestamp_start,timestamp_end,content,translated_content,created_at,lang_detected
1419,moNqhkSmNNg,283.44,287.548,"charging station, so I don't know if the",,2026-06-04 05:51:47.124748+00,en
1420,moNqhkSmNNg,285.6,290.4,others are going to be this grand.,,2026-06-04 05:51:47.124748+00,en
1421,moNqhkSmNNg,287.548,293.04,[music] And um but there certainly were,,2026-06-04 05:51:47.124748+00,en
1422,moNqhkSmNNg,290.4,295.199,"a lot of them. Uh so, for example, I",,2026-06-04 05:51:47.124748+00,en
1423,moNqhkSmNNg,293.04,297.68,"clicked on this one, which is outside of",,2026-06-04 05:51:47.124748+00,en
1424,moNqhkSmNNg,295.199,300.8,"Bangkok, and it's low-speed chargers",,2026-06-04 05:51:47.124748+00,en
1425,moNqhkSmNNg,297.68,302.639,only. It looks like 50 kilowatt. Maybe,,2026-06-04 05:51:47.124748+00,af
1426,moNqhkSmNNg,300.8,304.639,"there might have been another there, but",,2026-06-04 05:51:47.124748+00,en
1427,moNqhkSmNNg,302.639,306.24,I couldn't scroll down to see more. The,,2026-06-04 05:51:47.124748+00,en
1428,moNqhkSmNNg,304.639,310.56,app was a little bit a little bit,,2026-06-04 05:51:47.124748+00,en
1429,moNqhkSmNNg,306.24,312.56,glitchy. Um tried another one. This one,,2026-06-04 05:51:47.124748+00,en
1430,moNqhkSmNNg,310.56,314.639,"uh was a little closer to Bangkok, but",,2026-06-04 05:51:47.124748+00,en
1431,moNqhkSmNNg,312.56,316.56,uh same story. Uh you're looking at,,2026-06-04 05:51:47.124748+00,en
1432,moNqhkSmNNg,314.639,318.88,there were two chargers there. Both were,,2026-06-04 05:51:47.124748+00,en
1433,moNqhkSmNNg,316.56,322.4,"in use, but I couldn't tell how fast",,2026-06-04 05:51:47.124748+00,en
1434,moNqhkSmNNg,318.88,326.8,"they were. So, the app wouldn't let me",,2026-06-04 05:51:47.124748+00,en
1435,moNqhkSmNNg,322.4,328.4,"scroll down. Don't know why. But, um",,2026-06-04 05:51:47.124748+00,en
1436,moNqhkSmNNg,326.8,331.12,this one worked. I could see that they,,2026-06-04 05:51:47.124748+00,en
1370,moNqhkSmNNg,152,156.239,This is what it looked like. And there,,2026-06-04 05:51:47.124748+00,en
1437,moNqhkSmNNg,328.4,332.88,had a 50 kilowatt charger. The one,,2026-06-04 05:51:47.124748+00,en
1438,moNqhkSmNNg,331.12,335.44,"below, which is that someone's charging",,2026-06-04 05:51:47.124748+00,en
1439,moNqhkSmNNg,332.88,338,"at, it's 83%, but I don't know the size",,2026-06-04 05:51:47.124748+00,en
1440,moNqhkSmNNg,335.44,340.88,of that charger.,,2026-06-04 05:51:47.124748+00,en
1441,moNqhkSmNNg,338,343.12,But on the head office uh location on,,2026-06-04 05:51:47.124748+00,en
1442,moNqhkSmNNg,340.88,344.96,"the app, yes, we could see all their",,2026-06-04 05:51:47.124748+00,en
1443,moNqhkSmNNg,343.12,348.4,chargers and they had every range there.,,2026-06-04 05:51:47.124748+00,en
1444,moNqhkSmNNg,344.96,352.24,They had AC and DC and they had 50,,2026-06-04 05:51:47.124748+00,en
1445,moNqhkSmNNg,348.4,353.919,"kilowatt, they had 120, they had 240s.",,2026-06-04 05:51:47.124748+00,en
1446,moNqhkSmNNg,352.24,356.4,And the way the app works is you you,,2026-06-04 05:51:47.124748+00,en
1447,moNqhkSmNNg,353.919,358.88,have to prepay into the app. So you load,,2026-06-04 05:51:47.124748+00,en
1448,moNqhkSmNNg,356.4,360.96,up with some money and then as you,,2026-06-04 05:51:47.124748+00,en
1449,moNqhkSmNNg,358.88,362.96,charge it just deducts from that. That's,,2026-06-04 05:51:47.124748+00,en
1450,moNqhkSmNNg,360.96,365.84,the only way to to make to make that,,2026-06-04 05:51:47.124748+00,en
1451,moNqhkSmNNg,362.96,368.16,work.,,2026-06-04 05:51:47.124748+00,af
1452,moNqhkSmNNg,365.84,371.28,"So, you can't use a credit card. And",,2026-06-04 05:51:47.124748+00,en
1453,moNqhkSmNNg,368.16,373.52,"yeah, so it's stuck at 150 here. So, I I",,2026-06-04 05:51:47.124748+00,en
1454,moNqhkSmNNg,371.28,375.28,suspect that the car is doing that. But,,2026-06-04 05:51:47.124748+00,en
1455,moNqhkSmNNg,373.52,378.96,"check this out. After a little while, it",,2026-06-04 05:51:47.124748+00,en
1456,moNqhkSmNNg,375.28,381.6,"dropped down to just uh 34 kilowatt. So,",,2026-06-04 05:51:47.124748+00,en
1457,moNqhkSmNNg,378.96,383.84,that's slow. But they did have this nice,,2026-06-04 05:51:47.124748+00,en
1458,moNqhkSmNNg,381.6,387.6,lounge where I could go and hang out air,,2026-06-04 05:51:47.124748+00,en
1459,moNqhkSmNNg,383.84,390.4,"conditioned. So, that's okay.",,2026-06-04 05:51:47.124748+00,en
1460,moNqhkSmNNg,387.6,392.319,"Again, it's the flagship. It's a huge",,2026-06-04 05:51:47.124748+00,en
1461,moNqhkSmNNg,390.4,395.12,complex. I had to walk around quite a,,2026-06-04 05:51:47.124748+00,en
1462,moNqhkSmNNg,392.319,400.44,bit. And eventually I was able to locate,,2026-06-04 05:51:47.124748+00,en
1463,moNqhkSmNNg,395.12,400.44,some some basic amenities. Um,,2026-06-04 05:51:47.124748+00,en
1464,moNqhkSmNNg,400.72,405.52,this fella's wa water in the grass here.,,2026-06-04 05:51:47.124748+00,en
1465,moNqhkSmNNg,403.039,407.36,"Beautiful, beautiful complex. Lots and",,2026-06-04 05:51:47.124748+00,fr
1466,moNqhkSmNNg,405.52,409.039,"lots of buildings it seems. But yeah,",,2026-06-04 05:51:47.124748+00,en
1467,moNqhkSmNNg,407.36,411.44,there were toilets if you if you looked,,2026-06-04 05:51:47.124748+00,en
1468,moNqhkSmNNg,409.039,413.28,hard enough. And around the corner from,,2026-06-04 05:51:47.124748+00,en
1469,moNqhkSmNNg,411.44,416.16,"that, I found a nice little coffee shop",,2026-06-04 05:51:47.124748+00,en
1470,moNqhkSmNNg,413.28,418.96,and I had a nice latte. So So that was,,2026-06-04 05:51:47.124748+00,en
1471,moNqhkSmNNg,416.16,421.199,good.,,2026-06-04 05:51:47.124748+00,so
1472,moNqhkSmNNg,418.96,424.16,Yeah. Here we're at 99%. We're just,,2026-06-04 05:51:47.124748+00,en
1473,moNqhkSmNNg,421.199,427.12,about finished. There we go. We're done.,,2026-06-04 05:51:47.124748+00,en
1474,moNqhkSmNNg,424.16,430.16,"I think I started charging around 35%,",,2026-06-04 05:51:47.124748+00,en
1475,moNqhkSmNNg,427.12,432.8,"maybe 40%, something like that. And so I",,2026-06-04 05:51:47.124748+00,en
1476,moNqhkSmNNg,430.16,434.96,was at the charger for 50 minutes. So,,2026-06-04 05:51:47.124748+00,en
1477,moNqhkSmNNg,432.8,437.28,it's a little bit on the slow side. Not,,2026-06-04 05:51:47.124748+00,en
1478,moNqhkSmNNg,434.96,439.68,so great. You can see the price there,,2026-06-04 05:51:47.124748+00,en
1479,moNqhkSmNNg,437.28,441.52,about seven,,2026-06-04 05:51:47.124748+00,en
1480,moNqhkSmNNg,439.68,444.56,uh bot per kilowatt hour. Number three,,2026-06-04 05:51:47.124748+00,en
1481,moNqhkSmNNg,441.52,446.4,on the list is Spark. Spark chargers.,,2026-06-04 05:51:47.124748+00,en
1482,moNqhkSmNNg,444.56,449.599,They're orange in color and they can,,2026-06-04 05:51:47.124748+00,en
1483,moNqhkSmNNg,446.4,452.56,often be found at these uh green,,2026-06-04 05:51:47.124748+00,en
1484,moNqhkSmNNg,449.599,455.52,Bangchak [music] stations and this one's,,2026-06-04 05:51:47.124748+00,en
1485,moNqhkSmNNg,452.56,457.199,a huge complex that was on route,,2026-06-04 05:51:47.124748+00,en
1486,moNqhkSmNNg,455.52,459.759,Bangchak,,2026-06-04 05:51:47.124748+00,id
1487,moNqhkSmNNg,457.199,463.28,and uh there were six chargers here.,,2026-06-04 05:51:47.124748+00,en
1488,moNqhkSmNNg,459.759,466.16,They were all down as being 240 kilowatt,,2026-06-04 05:51:47.124748+00,en
1489,moNqhkSmNNg,463.28,468.88,chargers again and checking the app,,2026-06-04 05:51:47.124748+00,en
1490,moNqhkSmNNg,466.16,471.759,there. There's quite a few Spark,,2026-06-04 05:51:47.124748+00,en
1491,moNqhkSmNNg,468.88,474.479,chargers around the country and uh again,,2026-06-04 05:51:47.124748+00,en
1492,moNqhkSmNNg,471.759,477.039,you have to prepay into the into the app,,2026-06-04 05:51:47.124748+00,en
1493,moNqhkSmNNg,474.479,478.639,so that you can use the chargers. So,,2026-06-04 05:51:47.124748+00,en
1494,moNqhkSmNNg,477.039,481.039,"once you've done that, you can use a",,2026-06-04 05:51:47.124748+00,fr
1495,moNqhkSmNNg,478.639,485.199,credit card to do that. Uh you're all,,2026-06-04 05:51:47.124748+00,en
1496,moNqhkSmNNg,481.039,487.919,"set to go, but you got to prepay.",,2026-06-04 05:51:47.124748+00,en
1497,moNqhkSmNNg,485.199,489.599,"Yeah, Bank check. Uh a lot of the Spark",,2026-06-04 05:51:47.124748+00,en
1,cuFkQBe26mM,0,3,แ,,2026-06-04 05:51:47.124748+00,th
1498,moNqhkSmNNg,487.919,490.96,"chargers are at Bank Check, but I think",,2026-06-04 05:51:47.124748+00,en
1499,moNqhkSmNNg,489.599,495.28,you can also find them in other,,2026-06-04 05:51:47.124748+00,en
1500,moNqhkSmNNg,490.96,497.84,locations as well. and um basic plugand,,2026-06-04 05:51:47.124748+00,en
2500,hArnl8kI7DI,851.16,855.12,Limo Grein á. Trời hôm trước là chỉ được,,2026-06-04 05:51:47.124748+00,vi
1519,moNqhkSmNNg,544,548.16,at the station. I'm the only one here.,,2026-06-04 05:51:47.124748+00,en
1520,moNqhkSmNNg,545.839,550.399,So I should be getting at least 150,,2026-06-04 05:51:47.124748+00,en
1521,moNqhkSmNNg,548.16,552.24,kilowatt. plugged into a different,,2026-06-04 05:51:47.124748+00,en
1522,moNqhkSmNNg,550.399,554.32,"charger. Moved the car over, charged,",,2026-06-04 05:51:47.124748+00,en
1523,moNqhkSmNNg,552.24,557.36,"tried a different one. Okay, now we're",,2026-06-04 05:51:47.124748+00,en
1524,moNqhkSmNNg,554.32,559.519,getting almost 120 kilowatts. That's,,2026-06-04 05:51:47.124748+00,en
1525,moNqhkSmNNg,557.36,560.8,"what it's supposed to be. So, or close",,2026-06-04 05:51:47.124748+00,en
1526,moNqhkSmNNg,559.519,562.959,"to what it's supposed to be. So, I",,2026-06-04 05:51:47.124748+00,en
1527,moNqhkSmNNg,560.8,565.839,stayed at this one. Let's see how long,,2026-06-04 05:51:47.124748+00,en
1528,moNqhkSmNNg,562.959,568,it takes to get us up to,,2026-06-04 05:51:47.124748+00,en
1529,moNqhkSmNNg,565.839,569.92,100%.,,2026-06-04 05:51:47.124748+00,unknown
1530,moNqhkSmNNg,568,571.76,"But yeah, that's the app was a little",,2026-06-04 05:51:47.124748+00,en
1531,moNqhkSmNNg,569.92,574.08,bit buggy there. I'm not quite sure what,,2026-06-04 05:51:47.124748+00,en
1532,moNqhkSmNNg,571.76,576.64,was happening uh with that first,,2026-06-04 05:51:47.124748+00,en
1533,moNqhkSmNNg,574.08,578.32,"charger. And like I said, I was the only",,2026-06-04 05:51:47.124748+00,en
1534,moNqhkSmNNg,576.64,580.48,"one at the station, so I wasn't sure.",,2026-06-04 05:51:47.124748+00,en
1535,moNqhkSmNNg,578.32,583.6,sharing the charger with anybody else.,,2026-06-04 05:51:47.124748+00,en
1536,moNqhkSmNNg,580.48,586.16,"So, not quite sure what the issue was",,2026-06-04 05:51:47.124748+00,en
1537,moNqhkSmNNg,583.6,587.6,"with that one. But anyways, while it's",,2026-06-04 05:51:47.124748+00,en
1538,moNqhkSmNNg,586.16,591.12,"charging, let's take a look around this",,2026-06-04 05:51:47.124748+00,en
1539,moNqhkSmNNg,587.6,592.64,"complex. It's a huge, huge complex. Um,",,2026-06-04 05:51:47.124748+00,en
1540,moNqhkSmNNg,591.12,595.2,you can kind of get a sense of it here.,,2026-06-04 05:51:47.124748+00,en
1541,moNqhkSmNNg,592.64,599.6,I'm not even halfway down. It's like two,,2026-06-04 05:51:47.124748+00,en
1542,moNqhkSmNNg,595.2,601.12,"football fields. There's lots,",,2026-06-04 05:51:47.124748+00,en
1543,moNqhkSmNNg,599.6,603.12,"well, not lots, there were a few",,2026-06-04 05:51:47.124748+00,en
1544,moNqhkSmNNg,601.12,606.08,restaurants which were just opening up.,,2026-06-04 05:51:47.124748+00,en
1545,moNqhkSmNNg,603.12,609.04,This guy's laughing at me. Uh I was,,2026-06-04 05:51:47.124748+00,en
1546,moNqhkSmNNg,606.08,610.8,"there early in the morning, so they it's",,2026-06-04 05:51:47.124748+00,en
1547,moNqhkSmNNg,609.04,613.2,not even 7:00 a.m. So they haven't,,2026-06-04 05:51:47.124748+00,en
1548,moNqhkSmNNg,610.8,614.959,opened yet. So uh there's not a lot,,2026-06-04 05:51:47.124748+00,en
1549,moNqhkSmNNg,613.2,618.16,there was nothing there for me to to to,,2026-06-04 05:51:47.124748+00,en
1550,moNqhkSmNNg,614.959,619.68,eat or or anything. Um but if I'd come,,2026-06-04 05:51:47.124748+00,en
1551,moNqhkSmNNg,618.16,622.399,"later in the day, I guess there would",,2026-06-04 05:51:47.124748+00,en
1552,moNqhkSmNNg,619.68,624.399,be. But the station is kind of run down,,2026-06-04 05:51:47.124748+00,en
1553,moNqhkSmNNg,622.399,626.72,and beaten up. It's like someone had a,,2026-06-04 05:51:47.124748+00,en
1554,moNqhkSmNNg,624.399,628.32,"really good idea, but I don't know",,2026-06-04 05:51:47.124748+00,en
1555,moNqhkSmNNg,626.72,631.519,what's happened over time. It just kind,,2026-06-04 05:51:47.124748+00,en
1556,moNqhkSmNNg,628.32,635.36,of faded away. 86% now we're down to,,2026-06-04 05:51:47.124748+00,en
1557,moNqhkSmNNg,631.519,637.2,"like 44 kilowatts, 43 kilowatts.",,2026-06-04 05:51:47.124748+00,af
1558,moNqhkSmNNg,635.36,639.68,There is a little big sea mini mart,,2026-06-04 05:51:47.124748+00,en
1559,moNqhkSmNNg,637.2,642.079,where you can get a snack I suppose if,,2026-06-04 05:51:47.124748+00,en
1560,moNqhkSmNNg,639.68,645.76,you if you're desperate,,2026-06-04 05:51:47.124748+00,fr
1561,moNqhkSmNNg,642.079,649.44,but uh there's some kind of theme park,,2026-06-04 05:51:47.124748+00,en
1562,moNqhkSmNNg,645.76,651.04,theme going on here inon coffee uh but,,2026-06-04 05:51:47.124748+00,en
1563,moNqhkSmNNg,649.44,653.6,they weren't open yet but you can see,,2026-06-04 05:51:47.124748+00,en
1564,moNqhkSmNNg,651.04,656.16,they're just getting ready to open there,,2026-06-04 05:51:47.124748+00,en
1565,moNqhkSmNNg,653.6,658.8,but yeah you've got this uh old airplane,,2026-06-04 05:51:47.124748+00,en
1566,moNqhkSmNNg,656.16,662,hanging around and there's like these,,2026-06-04 05:51:47.124748+00,en
1567,moNqhkSmNNg,658.8,664.16,grandiose buildings and places for shops,,2026-06-04 05:51:47.124748+00,en
1568,moNqhkSmNNg,662,667.6,which are empty and this deserted mini,,2026-06-04 05:51:47.124748+00,en
1371,moNqhkSmNNg,153.599,158,"was a restaurant nearby. But yeah, right",,2026-06-04 05:51:47.124748+00,en
1569,moNqhkSmNNg,664.16,669.2,just sitting there in this um kind of,,2026-06-04 05:51:47.124748+00,en
1570,moNqhkSmNNg,667.6,671.519,spooky,,2026-06-04 05:51:47.124748+00,sk
1571,moNqhkSmNNg,669.2,673.36,park. Kind of expect zombies to come,,2026-06-04 05:51:47.124748+00,en
1572,moNqhkSmNNg,671.519,676.48,charging through the bushes in a second.,,2026-06-04 05:51:47.124748+00,en
1573,moNqhkSmNNg,673.36,678.56,"Feels kind of weird. Uh but look, hey,",,2026-06-04 05:51:47.124748+00,en
1574,moNqhkSmNNg,676.48,681.519,they set up a prayer room. Nice touch.,,2026-06-04 05:51:47.124748+00,en
1575,moNqhkSmNNg,678.56,684.32,"So, that's thoughtful. I like that. All",,2026-06-04 05:51:47.124748+00,en
1576,moNqhkSmNNg,681.519,687.2,"right, we're just about done here.",,2026-06-04 05:51:47.124748+00,en
1577,moNqhkSmNNg,684.32,689.68,Getting up to about 96%. We're at almost,,2026-06-04 05:51:47.124748+00,en
1578,moNqhkSmNNg,687.2,691.519,"45 kilowatts. And you know, the charging",,2026-06-04 05:51:47.124748+00,en
1579,moNqhkSmNNg,689.68,694.48,does slow down as you as your battery,,2026-06-04 05:51:47.124748+00,en
1580,moNqhkSmNNg,691.519,697.12,gets full. So we now we made it to 100%,,2026-06-04 05:51:47.124748+00,en
1581,moNqhkSmNNg,694.48,701.6,and uh it's figured out how much money I,,2026-06-04 05:51:47.124748+00,en
2506,hArnl8kI7DI,862.399,865.56,Nhược điểm đó là gì? Nhược điểm của nó,,2026-06-04 05:51:47.124748+00,vi
1582,moNqhkSmNNg,697.12,704.88,have to pay. There's all the details. Uh,,2026-06-04 05:51:47.124748+00,en
1583,moNqhkSmNNg,701.6,706.72,you can see the rate was 7.9,,2026-06-04 05:51:47.124748+00,en
1584,moNqhkSmNNg,704.88,709.2,"uh bot per kilowatt hour. Yeah, that's",,2026-06-04 05:51:47.124748+00,en
1585,moNqhkSmNNg,706.72,711.76,how I feel too. Not a great experience.,,2026-06-04 05:51:47.124748+00,en
1586,moNqhkSmNNg,709.2,713.839,"Alex, Alex Chargers is the number two",,2026-06-04 05:51:47.124748+00,en
1587,moNqhkSmNNg,711.76,716.24,pick out of the five I looked at. And,,2026-06-04 05:51:47.124748+00,en
1588,moNqhkSmNNg,713.839,719.6,you could find Alex chargers at PT,,2026-06-04 05:51:47.124748+00,en
1589,moNqhkSmNNg,716.24,721.6,stations like this one. Also green.,,2026-06-04 05:51:47.124748+00,en
1590,moNqhkSmNNg,719.6,724,"Now, this is kind of a small remote PT",,2026-06-04 05:51:47.124748+00,en
1591,moNqhkSmNNg,721.6,726.16,"station, but on a main road, it's just",,2026-06-04 05:51:47.124748+00,en
1592,moNqhkSmNNg,724,728.56,the two chargers there. They're 150,,2026-06-04 05:51:47.124748+00,en
1593,moNqhkSmNNg,726.16,730.88,kilowatt chargers. And like all,,2026-06-04 05:51:47.124748+00,af
1594,moNqhkSmNNg,728.56,734,"chargers, it's plugandplay. You plug in",,2026-06-04 05:51:47.124748+00,en
1595,moNqhkSmNNg,730.88,736.72,your car and you get out your phone and,,2026-06-04 05:51:47.124748+00,fr
1596,moNqhkSmNNg,734,738.88,uh you look for the QR code on the,,2026-06-04 05:51:47.124748+00,en
1597,moNqhkSmNNg,736.72,741.12,"machine and then you scan that. Here,",,2026-06-04 05:51:47.124748+00,en
1598,moNqhkSmNNg,738.88,743.519,you have to uh have a credit card on,,2026-06-04 05:51:47.124748+00,en
1599,moNqhkSmNNg,741.12,745.519,"file. Once that's done, you you'll be",,2026-06-04 05:51:47.124748+00,en
1600,moNqhkSmNNg,743.519,747.2,able to start charging. But when the,,2026-06-04 05:51:47.124748+00,en
1601,moNqhkSmNNg,745.519,749.44,"charging is done, you can actually",,2026-06-04 05:51:47.124748+00,en
1602,moNqhkSmNNg,747.2,751.839,choose to pay another way through your,,2026-06-04 05:51:47.124748+00,en
1603,moNqhkSmNNg,749.44,754.32,"bank account, but it won't charge unless",,2026-06-04 05:51:47.124748+00,en
1604,moNqhkSmNNg,751.839,756.399,you already have a credit card on file,,2026-06-04 05:51:47.124748+00,en
1605,moNqhkSmNNg,754.32,758.88,as opposed to having a prepaid kind of,,2026-06-04 05:51:47.124748+00,en
1606,moNqhkSmNNg,756.399,761.519,"system. So, anyways, after a little bit",,2026-06-04 05:51:47.124748+00,en
1607,moNqhkSmNNg,758.88,763.839,"of cable checking and and whatnot, uh",,2026-06-04 05:51:47.124748+00,en
1608,moNqhkSmNNg,761.519,765.44,you can hear the charger ramping up and,,2026-06-04 05:51:47.124748+00,en
1609,moNqhkSmNNg,763.839,769.36,"the next thing you know, we're off to",,2026-06-04 05:51:47.124748+00,en
1610,moNqhkSmNNg,765.44,772.72,"the races. And um it's 150 kW charger,",,2026-06-04 05:51:47.124748+00,en
1611,moNqhkSmNNg,769.36,775.2,so I should be able to get 150 kW. And,,2026-06-04 05:51:47.124748+00,en
1612,moNqhkSmNNg,772.72,777.68,"uh right off the bat, even uh we're",,2026-06-04 05:51:47.124748+00,en
1613,moNqhkSmNNg,775.2,781.68,"starting at 40% and right off the bat,",,2026-06-04 05:51:47.124748+00,en
1614,moNqhkSmNNg,777.68,783.92,we're already at uh 145 kilowatt after,,2026-06-04 05:51:47.124748+00,en
1615,moNqhkSmNNg,781.68,787.92,just 49 seconds. So that's pretty decent,,2026-06-04 05:51:47.124748+00,en
1616,moNqhkSmNNg,783.92,791.279,speed. 140 kilowatt here is still not,,2026-06-04 05:51:47.124748+00,af
1617,moNqhkSmNNg,787.92,794.16,too bad. And here's their app. and you,,2026-06-04 05:51:47.124748+00,en
1618,moNqhkSmNNg,791.279,795.92,click on a station and you can see the,,2026-06-04 05:51:47.124748+00,en
1619,moNqhkSmNNg,794.16,797.839,"level of charging they have, its",,2026-06-04 05:51:47.124748+00,en
1620,moNqhkSmNNg,795.92,799.6,location. You can click navigate. All of,,2026-06-04 05:51:47.124748+00,en
1621,moNqhkSmNNg,797.839,801.519,"these apps have that. But this app, you",,2026-06-04 05:51:47.124748+00,en
1622,moNqhkSmNNg,799.6,804.399,can also book the charger in advance.,,2026-06-04 05:51:47.124748+00,en
1623,moNqhkSmNNg,801.519,806.24,"Now, that could be a handy feature. But",,2026-06-04 05:51:47.124748+00,en
1624,moNqhkSmNNg,804.399,808,there's a surprise waiting for me when I,,2026-06-04 05:51:47.124748+00,en
1625,moNqhkSmNNg,806.24,811.04,"went and booked this. I thought, okay,",,2026-06-04 05:51:47.124748+00,en
2,cuFkQBe26mM,10.58,29.28,[เพลง],,2026-06-04 05:51:47.124748+00,th
1626,moNqhkSmNNg,808,813.6,"I'll book it. I'll give it a try. So, I",,2026-06-04 05:51:47.124748+00,en
1627,moNqhkSmNNg,811.04,815.76,chose my charger. I clicked confirm. And,,2026-06-04 05:51:47.124748+00,en
1628,moNqhkSmNNg,813.6,818.32,"next thing I know, I'm on a stopwatch",,2026-06-04 05:51:47.124748+00,en
1629,moNqhkSmNNg,815.76,821.12,and I have 19 minutes and 56 seconds to,,2026-06-04 05:51:47.124748+00,en
1630,moNqhkSmNNg,818.32,824,get there or my booking is cancelled.,,2026-06-04 05:51:47.124748+00,en
1631,moNqhkSmNNg,821.12,825.92,"And not only that, you'll be penalized.",,2026-06-04 05:51:47.124748+00,en
1632,moNqhkSmNNg,824,828.32,"So, whoops, I didn't know about that.",,2026-06-04 05:51:47.124748+00,en
1633,moNqhkSmNNg,825.92,832.399,And I'm not 19 minutes and 47 seconds,,2026-06-04 05:51:47.124748+00,en
1634,moNqhkSmNNg,828.32,834.32,"away. I canled the booking, but it still",,2026-06-04 05:51:47.124748+00,en
1635,moNqhkSmNNg,832.399,836,penalized me. There's a point system in,,2026-06-04 05:51:47.124748+00,en
1636,moNqhkSmNNg,834.32,837.839,"the app, and once you get too many",,2026-06-04 05:51:47.124748+00,en
1637,moNqhkSmNNg,836,839.6,"penalties, I guess you're locked out. I",,2026-06-04 05:51:47.124748+00,en
1638,moNqhkSmNNg,837.839,841.36,"don't know. So, I'm not too thrilled",,2026-06-04 05:51:47.124748+00,en
1639,moNqhkSmNNg,839.6,843.12,about that.,,2026-06-04 05:51:47.124748+00,en
1640,moNqhkSmNNg,841.36,845.36,"But uh yeah, you can see all the charges",,2026-06-04 05:51:47.124748+00,en
1641,moNqhkSmNNg,843.12,847.76,they have around the country. And some,,2026-06-04 05:51:47.124748+00,en
1642,moNqhkSmNNg,845.36,850.88,"places it's walk-in, some places you can",,2026-06-04 05:51:47.124748+00,en
1643,moNqhkSmNNg,847.76,854.079,"book, some places it's both. And even in",,2026-06-04 05:51:47.124748+00,en
1644,moNqhkSmNNg,850.88,856.48,"more remote locations, you still have uh",,2026-06-04 05:51:47.124748+00,fr
1645,moNqhkSmNNg,854.079,860.88,"uh 120 Yeah, this is a these are 120",,2026-06-04 05:51:47.124748+00,en
1646,moNqhkSmNNg,856.48,863.6,kilowatt chargers. And uh also in a,,2026-06-04 05:51:47.124748+00,en
