id,category,entity,metric,value_num,value_text,unit,country,period,source,reliability,note,created_at
30,laos_official,Champasack,population_province,791000,,명,LAO,2024,LSB LAOSIS,official,남부 거점(팍세),2026-06-12 17:35:03.919925+00
31,laos_official,Luangprabang,population_province,481000,,명,LAO,2024,LSB LAOSIS,official,관광 거점,2026-06-12 17:35:03.919925+00
32,laos_official,EV,e_motorcycle_sales_2023,2039,,대,LAO,2023,jclao/US-ASEAN,secondary,전기 이륜차 판매(2023),2026-06-12 17:35:03.919925+00
33,laos_official,EV,ev_sales_2023,4631,,대,LAO,2023,jclao/US-ASEAN,secondary,"EV 판매=자동차2,592+이륜차2,039 (Customs 누적수입 4,437과 기준 다름)",2026-06-12 17:35:03.919925+00
34,laos_official,EV,charging_stations,41,,개소,LAO,2023,업계,secondary,"전국(대부분 비엔티안). 태국 2,222·베트남 15만 포트 대비 극소",2026-06-12 17:35:03.919925+00
35,laos_official,Vientiane Capital,households_province,187675,,가구,LAO,2024,LSB LAOSIS(도별가구),official,전국 가구의 13.7%,2026-06-12 17:57:30.207016+00
36,laos_official,Savannakhet,households_province,186447,,가구,LAO,2024,LSB LAOSIS(도별가구),official,비엔티안과 거의 동률(양대 가구시장),2026-06-12 17:57:30.207016+00
37,laos_official,Champasack,households_province,140231,,가구,LAO,2024,LSB LAOSIS(도별가구),official,남부 거점,2026-06-12 17:57:30.207016+00
38,laos_official,인구,age_15_39_share,43.2,,%,LAO,2024,LSB LAOSIS(성·연령),official,EV 얼리어답터·드라이버·스마트폰 핵심층,2026-06-12 17:57:30.207016+00
39,laos_official,인구,age_0_14_share,29.9,,%,LAO,2024,LSB LAOSIS(성·연령),official,유소년 — 젊은 인구구조,2026-06-12 17:57:30.207016+00
40,laos_lecs7,전국,poverty_rate,15.0,,%,LAO,2024/25,LSB LECS7 Poverty Brief 2024/25 (nipn.lsb.gov.la),lsb,빈곤율(2018/19 18.3→15.0). 도시 8.9·농촌 18.0,2026-06-13 07:45:41.938383+00
41,laos_lecs7,도시,poverty_rate,8.9,,%,LAO,2024/25,LSB LECS7 Poverty Brief 2024/25 (nipn.lsb.gov.la),lsb,도시 빈곤율 상승(7.0→8.9),2026-06-13 07:45:41.938383+00
42,laos_lecs7,농촌,poverty_rate,18.0,,%,LAO,2024/25,LSB LECS7 Poverty Brief 2024/25 (nipn.lsb.gov.la),lsb,농촌 빈곤율 하락(23.8→18.0),2026-06-13 07:45:41.938383+00
43,laos_lecs7,전국,gini_index,34.7,,index,LAO,2024/25,LSB LECS7 Poverty Brief 2024/25 (nipn.lsb.gov.la),lsb,불평등 하락(38.8→34.7),2026-06-13 07:45:41.938383+00
44,laos_lecs7,전국,poverty_line,24245.0,,LAK/day,LAO,2024/25,LSB LECS7 Poverty Brief 2024/25 (nipn.lsb.gov.la),lsb,1일 빈곤선 ≈ USD 1.1,2026-06-13 07:45:41.938383+00
45,laos_lecs7,전국,multidim_poverty,17.9,,%,LAO,2024/25,LSB LECS7 Poverty Brief 2024/25 (nipn.lsb.gov.la),lsb,다차원 빈곤(22.0→17.9),2026-06-13 07:45:41.938383+00
46,laos_lecs7,분위1(최하),monthly_consumption_pc,618450.0,,LAK/월/인,LAO,2024/25,LSB LECS7 Poverty Brief 2024/25 (nipn.lsb.gov.la),lsb,1인당 월 명목소비,2026-06-13 07:45:41.938383+00
47,laos_lecs7,분위2,monthly_consumption_pc,931690.0,,LAK/월/인,LAO,2024/25,LSB LECS7 Poverty Brief 2024/25 (nipn.lsb.gov.la),lsb,1인당 월 명목소비,2026-06-13 07:45:41.938383+00
48,laos_lecs7,분위3(중위),monthly_consumption_pc,1225892.0,,LAK/월/인,LAO,2024/25,LSB LECS7 Poverty Brief 2024/25 (nipn.lsb.gov.la),lsb,1인당 월 명목소비,2026-06-13 07:45:41.938383+00
49,laos_lecs7,분위4,monthly_consumption_pc,1656515.0,,LAK/월/인,LAO,2024/25,LSB LECS7 Poverty Brief 2024/25 (nipn.lsb.gov.la),lsb,1인당 월 명목소비,2026-06-13 07:45:41.938383+00
50,laos_lecs7,분위5(최상),monthly_consumption_pc,3357275.0,,LAK/월/인,LAO,2024/25,LSB LECS7 Poverty Brief 2024/25 (nipn.lsb.gov.la),lsb,1인당 월 명목소비 — EV·충전 초기 타깃층,2026-06-13 07:45:41.938383+00
51,laos_fuel_cost,가솔린,fuel_price,23834.0,,LAK/L,LAO,2025-06,WFP Lao PDR Market Monitor 2025-06 (NIPN/LSB 호스팅; 연료=MoIC),igo,+2.7% MoM·-3.5% YoY (MoIC),2026-06-13 08:03:17.623337+00
52,laos_fuel_cost,디젤,fuel_price,19562.0,,LAK/L,LAO,2025-06,WFP Lao PDR Market Monitor 2025-06 (NIPN/LSB 호스팅; 연료=MoIC),igo,+3.8% MoM·-7.2% YoY (MoIC),2026-06-13 08:03:17.623337+00
53,laos_fuel_cost,가구,min_expenditure_basket,4980000.0,,LAK/월,LAO,2025-06,WFP Lao PDR Market Monitor 2025-06 (NIPN/LSB 호스팅; 연료=MoIC),igo,평균 가구 최소생계바스켓 ≈USD 233 (연료 포함),2026-06-13 08:03:17.623337+00
54,laos_fuel_cost,전국,cpi,251.4,,index,LAO,2025-06,WFP Lao PDR Market Monitor 2025-06 (NIPN/LSB 호스팅; 연료=MoIC),igo,인플레 7.2% YoY,2026-06-13 08:03:17.623337+00
55,laos_fuel_cost,전국,fx_lak_usd,21670.0,,LAK/USD,LAO,2025-07,WFP Lao PDR Market Monitor 2025-06 (NIPN/LSB 호스팅; 연료=MoIC),igo,환산 기준,2026-06-13 08:03:17.623337+00
